# MAGEMin to Warr (2021) IMA-CNMNC approved mineral symbol mapping
# Columns: magemin_name, type, mineral_full_name, warr_symbol
# type: ss=solution phase, em=endmember, pp=pure phase, sv=solvus-disambiguated name
# Warr (2021): Warr L.N., Mineralogical Magazine 85, 291-320, doi:10.1180/mgm.2021.43
# Lower case entries have no official Warr equivalent (composite/theoretical/model-specific)
magemin_name,type,mineral_full_name,warr_symbol
#
# === SOLUTION PHASE NAMES (ss) ===
#
abc,ss,Albite (ordered),Ab
ak,ss,Akimotoite,Aki
aki,ss,Akimotoite,Aki
amp,ss,Amphibole,Amp
anth,ss,Anthophyllite,Ath
atg,ss,Antigorite,Atg
aug,ss,Augite,Aug
bi,ss,Biotite,Bt
br,ss,Brucite,Brc
carp,ss,Carpholite,Cph
cd,ss,Cordierite,Crd
cf,ss,Ca-ferrite phase,cf
ch,ss,Clinohumite,Chu
chl,ss,Chlorite,Chl
cpv,ss,Ca-perovskite,cpv
cpx,ss,Clinopyroxene,Cpx
crn,ss,Corundum (high-P),crn
ctd,ss,Chloritoid,Cld
dio,ss,Clinopyroxene (dio/omphacite model),Cpx
ep,ss,Epidote,Ep
fl,ss,Fluid,fl
flc,ss,Fluid (H2O-CO2),flc
fp,ss,Ferropericlase,Fper
fper,ss,Ferropericlase,Fper
fsp,ss,Feldspar,Fsp
g,ss,Garnet,Grt
gtmj,ss,Garnet-majorite,Grt
hpcpx,ss,High-pressure clinopyroxene,hpcpx
hpx,ss,High-pressure pyroxene,hpx
ilm,ss,Ilmenite,Ilm
ilmm,ss,Ilmenite-hematite (Mn-bearing),Ilm
kals,ss,Kalsilite,Kls
lct,ss,Leucite,Lct
liq,ss,Melt (silicate liquid),liq
ma,ss,Margarite,Mrg
mel,ss,Melilite,Mel
mpv,ss,Mg-perovskite,mpv
mt,ss,Magnetite,Mag
mu,ss,Muscovite,Ms
nal,ss,Na-Al high-pressure phase,nal
nph,ss,Nepheline,Nph
oamp,ss,Orthoamphibole,oamp
occm,ss,Carbonate (calcite-dolomite-magnesite),occm
ol,ss,Olivine,Ol
opx,ss,Orthopyroxene,Opx
pl4tr,ss,Plagioclase,Pl
po,ss,Pyrrhotite,Po
ppv,ss,Post-perovskite,ppv
pv,ss,Perovskite,pv
ring,ss,Ringwoodite,ring
sa,ss,Sapphirine,Spr
sp,ss,Spinel,Spl
spi,ss,Spinel,Spl
spl,ss,Spinel,Spl
st,ss,Staurolite,St
ta,ss,Talc,Tlc
wad,ss,Wadsleyite,Wds
#
# === ENDMEMBER NAMES (em) ===
#
a,em,Ordering component A,a
aak,em,Al-akimotoite,aak
aatg,em,Al-antigorite component,aatg
ab,em,Albite,Ab
ab1L,em,Albite liquid component,ab1L
abL,em,Albite liquid component,abL
abm,em,Albite ordered,Ab
acmm,em,Acmite component,Aeg
afchl,em,Al-free chlorite component,afchl
ak,em,Akermanite,Ak
alm,em,Almandine,Alm
ames,em,Amesite,Ame
amoa,em,Orthoamphibole component A,amoa
amob,em,Orthoamphibole component B,amob
an,em,Anorthite,An
anL,em,Anorthite liquid component,anL
andr,em,Andradite,Adr
anm,em,Anorthite ordered,An
annm,em,Annite,Ann
anoL,em,Anorthite liquid component (alkaline db),anoL
anth,em,Anthophyllite,Ath
apv,em,Al-perovskite component,apv
atgf,em,Fe-antigorite component,atgf
atgo,em,Antigorite ordered component,atgo
b,em,Ordering component B,b
cacf,em,Ca-Ca-ferrite component,cacf
canal,em,Ca-Na-Al high-P component,canal
cats,em,Ca-Tschermak pyroxene component,cats
cbuf,em,Ca-buffer component (cpx),cbuf
cc,em,Calcite,Cal
cel,em,Celadonite,Cel
celt,em,Celadonite-type mica component,celt
cen,em,Clinoenstatite,Cen
cenh,em,Clinoenstatite-hed component,cenh
cess,em,Eskolaite-clinopyroxene component,cess
cfm,em,Ca-Fe-Mg mixing component,cfm
cfs,em,Clinoferrosilite,Cfs
chuf,em,Fe-clinohumite component,chuf
chum,em,Clinohumite,Chu
clin,em,Clinochlore,Cln
co,em,Corundum component (SLB),Crn
cor,em,Corundum,Crn
cpvm,em,Ca-perovskite Mg-component,cpvm
crd,em,Cordierite,Crd
crdi,em,Cr-diopside component,crdi
cren,em,Cr-enstatite component,cren
ctdo,em,Chloritoid ordered component,ctdo
cumm,em,Cummingtonite,Cum
cz,em,Clinozoisite,Czo
daph,em,Daphnite,Dph
